訂單編號,日期,星期,分店,品項,類別,數量,單價,金額
T1365,2026-07-13,星期一,信義店,拿鐵,咖啡,3,90,270
T1366,2026-07-13,星期一,信義店,肉桂捲,烘焙,1,85,85
T1367,2026-07-13,星期一,信義店,拿鐵,咖啡,2,90,180
T1368,2026-07-13,星期一,信義店,肉桂捲,烘焙,2,85,170
T1369,2026-07-13,星期一,信義店,紅茶,茶飲,2,50,100
T1370,2026-07-13,星期一,板橋店,紅茶,茶飲,1,50,50
T1371,2026-07-13,星期一,板橋店,抹茶拿鐵,茶飲,2,100,200
T1372,2026-07-13,星期一,板橋店,肉桂捲,烘焙,2,85,170
T1373,2026-07-13,星期一,板橋店,抹茶拿鐵,茶飲,1,100,100
T1374,2026-07-13,星期一,板橋店,起司蛋糕,烘焙,1,120,120
T1375,2026-07-13,星期一,板橋店,紅茶,茶飲,1,50,50
T1376,2026-07-13,星期一,板橋店,可頌,烘焙,1,60,60
T1377,2026-07-13,星期一,板橋店,紅茶,茶飲,2,50,100
T1403,2026-07-14,星期二,中壢店,肉桂捲,烘焙,2,85,170
T1404,2026-07-14,星期二,中壢店,卡布奇諾,咖啡,1,95,95
T1405,2026-07-14,星期二,中壢店,美式咖啡,咖啡,1,70,70
T1406,2026-07-14,星期二,中壢店,美式咖啡,咖啡,1,70,70
T1407,2026-07-14,星期二,中壢店,拿鐵,咖啡,1,90,90
T1408,2026-07-14,星期二,中壢店,卡布奇諾,咖啡,1,95,95
T1409,2026-07-14,星期二,中壢店,美式咖啡,咖啡,1,70,70
T1410,2026-07-14,星期二,中壢店,紅茶,茶飲,1,50,50
T1411,2026-07-14,星期二,中壢店,可頌,烘焙,2,60,120
T1412,2026-07-14,星期二,中壢店,美式咖啡,咖啡,1,70,70
T1385,2026-07-14,星期二,信義店,卡布奇諾,咖啡,2,95,190
T1386,2026-07-14,星期二,信義店,起司蛋糕,烘焙,1,120,120
T1387,2026-07-14,星期二,信義店,卡布奇諾,咖啡,1,95,95
T1388,2026-07-14,星期二,信義店,美式咖啡,咖啡,1,70,70
T1389,2026-07-14,星期二,信義店,抹茶拿鐵,茶飲,1,100,100
T1390,2026-07-14,星期二,信義店,卡布奇諾,咖啡,2,95,190
T1391,2026-07-14,星期二,信義店,紅茶,茶飲,1,50,50
T1392,2026-07-14,星期二,信義店,肉桂捲,烘焙,3,85,255
T1393,2026-07-14,星期二,板橋店,拿鐵,咖啡,1,90,90
T1394,2026-07-14,星期二,板橋店,肉桂捲,烘焙,1,85,85
T1395,2026-07-14,星期二,板橋店,卡布奇諾,咖啡,1,95,95
T1396,2026-07-14,星期二,板橋店,抹茶拿鐵,茶飲,2,100,200
T1397,2026-07-14,星期二,板橋店,可頌,烘焙,1,60,60
T1398,2026-07-14,星期二,板橋店,可頌,烘焙,1,60,60
T1399,2026-07-14,星期二,板橋店,美式咖啡,咖啡,2,70,140
T1400,2026-07-14,星期二,板橋店,美式咖啡,咖啡,2,70,140
T1401,2026-07-14,星期二,板橋店,肉桂捲,烘焙,2,85,170
T1402,2026-07-14,星期二,板橋店,美式咖啡,咖啡,3,70,210
T1431,2026-07-15,星期三,中壢店,美式咖啡,咖啡,1,70,70
T1432,2026-07-15,星期三,中壢店,可頌,烘焙,2,60,120
T1433,2026-07-15,星期三,中壢店,美式咖啡,咖啡,1,70,70
T1434,2026-07-15,星期三,中壢店,卡布奇諾,咖啡,1,95,95
T1435,2026-07-15,星期三,中壢店,可頌,烘焙,2,60,120
T1436,2026-07-15,星期三,中壢店,拿鐵,咖啡,1,90,90
T1437,2026-07-15,星期三,中壢店,拿鐵,咖啡,1,90,90
T1438,2026-07-15,星期三,中壢店,拿鐵,咖啡,1,90,90
T1439,2026-07-15,星期三,中壢店,卡布奇諾,咖啡,1,95,95
T1440,2026-07-15,星期三,中壢店,美式咖啡,咖啡,1,70,70
T1413,2026-07-15,星期三,信義店,拿鐵,咖啡,2,90,180
T1414,2026-07-15,星期三,信義店,拿鐵,咖啡,3,90,270
T1415,2026-07-15,星期三,信義店,起司蛋糕,烘焙,3,120,360
T1416,2026-07-15,星期三,信義店,拿鐵,咖啡,1,90,90
T1417,2026-07-15,星期三,信義店,卡布奇諾,咖啡,1,95,95
T1418,2026-07-15,星期三,信義店,拿鐵,咖啡,2,90,180
T1419,2026-07-15,星期三,信義店,拿鐵,咖啡,1,90,90
T1420,2026-07-15,星期三,信義店,拿鐵,咖啡,1,90,90
T1421,2026-07-15,星期三,信義店,抹茶拿鐵,茶飲,2,100,200
T1422,2026-07-15,星期三,板橋店,卡布奇諾,咖啡,1,95,95
T1423,2026-07-15,星期三,板橋店,卡布奇諾,咖啡,1,95,95
T1424,2026-07-15,星期三,板橋店,拿鐵,咖啡,1,90,90
T1425,2026-07-15,星期三,板橋店,卡布奇諾,咖啡,1,95,95
T1426,2026-07-15,星期三,板橋店,拿鐵,咖啡,2,90,180
T1427,2026-07-15,星期三,板橋店,拿鐵,咖啡,2,90,180
T1428,2026-07-15,星期三,板橋店,起司蛋糕,烘焙,2,120,240
T1429,2026-07-15,星期三,板橋店,美式咖啡,咖啡,2,70,140
T1430,2026-07-15,星期三,板橋店,起司蛋糕,烘焙,1,120,120
T1458,2026-07-16,星期四,中壢店,可頌,烘焙,2,60,120
T1459,2026-07-16,星期四,中壢店,拿鐵,咖啡,2,90,180
T1460,2026-07-16,星期四,中壢店,拿鐵,咖啡,1,90,90
T1461,2026-07-16,星期四,中壢店,拿鐵,咖啡,1,90,90
T1462,2026-07-16,星期四,中壢店,拿鐵,咖啡,2,90,180
T1463,2026-07-16,星期四,中壢店,美式咖啡,咖啡,3,70,210
T1464,2026-07-16,星期四,中壢店,抹茶拿鐵,茶飲,1,100,100
T1465,2026-07-16,星期四,中壢店,拿鐵,咖啡,2,90,180
T1466,2026-07-16,星期四,中壢店,拿鐵,咖啡,1,90,90
T1441,2026-07-16,星期四,信義店,拿鐵,咖啡,3,90,270
T1442,2026-07-16,星期四,信義店,可頌,烘焙,2,60,120
T1443,2026-07-16,星期四,信義店,美式咖啡,咖啡,2,70,140
T1444,2026-07-16,星期四,信義店,抹茶拿鐵,茶飲,1,100,100
T1445,2026-07-16,星期四,信義店,拿鐵,咖啡,3,90,270
T1446,2026-07-16,星期四,信義店,卡布奇諾,咖啡,2,95,190
T1447,2026-07-16,星期四,信義店,紅茶,茶飲,1,50,50
T1448,2026-07-16,星期四,信義店,肉桂捲,烘焙,1,85,85
T1449,2026-07-16,星期四,板橋店,美式咖啡,咖啡,1,70,70
T1450,2026-07-16,星期四,板橋店,美式咖啡,咖啡,1,70,70
T1451,2026-07-16,星期四,板橋店,拿鐵,咖啡,1,90,90
T1452,2026-07-16,星期四,板橋店,拿鐵,咖啡,3,90,270
T1453,2026-07-16,星期四,板橋店,美式咖啡,咖啡,1,70,70
T1454,2026-07-16,星期四,板橋店,美式咖啡,咖啡,3,70,210
T1455,2026-07-16,星期四,板橋店,紅茶,茶飲,1,50,50
T1456,2026-07-16,星期四,板橋店,抹茶拿鐵,茶飲,2,100,200
T1457,2026-07-16,星期四,板橋店,抹茶拿鐵,茶飲,1,100,100
T1487,2026-07-17,星期五,中壢店,紅茶,茶飲,2,50,100
T1488,2026-07-17,星期五,中壢店,美式咖啡,咖啡,3,70,210
T1489,2026-07-17,星期五,中壢店,卡布奇諾,咖啡,1,95,95
T1490,2026-07-17,星期五,中壢店,拿鐵,咖啡,3,90,270
T1491,2026-07-17,星期五,中壢店,美式咖啡,咖啡,2,70,140
T1492,2026-07-17,星期五,中壢店,抹茶拿鐵,茶飲,1,100,100
T1493,2026-07-17,星期五,中壢店,紅茶,茶飲,1,50,50
T1494,2026-07-17,星期五,中壢店,抹茶拿鐵,茶飲,2,100,200
T1495,2026-07-17,星期五,中壢店,肉桂捲,烘焙,2,85,170
T1496,2026-07-17,星期五,中壢店,美式咖啡,咖啡,1,70,70
T1467,2026-07-17,星期五,信義店,拿鐵,咖啡,3,90,270
T1468,2026-07-17,星期五,信義店,紅茶,茶飲,2,50,100
T1469,2026-07-17,星期五,信義店,美式咖啡,咖啡,1,70,70
T1470,2026-07-17,星期五,信義店,美式咖啡,咖啡,1,70,70
T1471,2026-07-17,星期五,信義店,肉桂捲,烘焙,2,85,170
T1472,2026-07-17,星期五,信義店,起司蛋糕,烘焙,1,120,120
T1473,2026-07-17,星期五,信義店,可頌,烘焙,2,60,120
T1474,2026-07-17,星期五,信義店,起司蛋糕,烘焙,1,120,120
T1475,2026-07-17,星期五,信義店,紅茶,茶飲,1,50,50
T1476,2026-07-17,星期五,信義店,美式咖啡,咖啡,2,70,140
T1477,2026-07-17,星期五,信義店,美式咖啡,咖啡,1,70,70
T1478,2026-07-17,星期五,板橋店,美式咖啡,咖啡,3,70,210
T1479,2026-07-17,星期五,板橋店,卡布奇諾,咖啡,2,95,190
T1480,2026-07-17,星期五,板橋店,紅茶,茶飲,1,50,50
T1481,2026-07-17,星期五,板橋店,卡布奇諾,咖啡,1,95,95
T1482,2026-07-17,星期五,板橋店,美式咖啡,咖啡,3,70,210
T1483,2026-07-17,星期五,板橋店,抹茶拿鐵,茶飲,3,100,300
T1484,2026-07-17,星期五,板橋店,拿鐵,咖啡,1,90,90
T1485,2026-07-17,星期五,板橋店,拿鐵,咖啡,1,90,90
T1486,2026-07-17,星期五,板橋店,肉桂捲,烘焙,2,85,170
T1521,2026-07-18,星期六,中壢店,拿鐵,咖啡,2,90,180
T1522,2026-07-18,星期六,中壢店,拿鐵,咖啡,2,90,180
T1523,2026-07-18,星期六,中壢店,卡布奇諾,咖啡,2,95,190
T1524,2026-07-18,星期六,中壢店,紅茶,茶飲,1,50,50
T1525,2026-07-18,星期六,中壢店,起司蛋糕,烘焙,2,120,240
T1526,2026-07-18,星期六,中壢店,拿鐵,咖啡,2,90,180
T1527,2026-07-18,星期六,中壢店,拿鐵,咖啡,3,90,270
T1528,2026-07-18,星期六,中壢店,抹茶拿鐵,茶飲,1,100,100
T1529,2026-07-18,星期六,中壢店,拿鐵,咖啡,2,90,180
T1530,2026-07-18,星期六,中壢店,紅茶,茶飲,1,50,50
T1531,2026-07-18,星期六,中壢店,卡布奇諾,咖啡,2,95,190
T1532,2026-07-18,星期六,中壢店,紅茶,茶飲,3,50,150
T1533,2026-07-18,星期六,中壢店,美式咖啡,咖啡,1,70,70
T1497,2026-07-18,星期六,信義店,抹茶拿鐵,茶飲,1,100,100
T1498,2026-07-18,星期六,信義店,美式咖啡,咖啡,1,70,70
T1499,2026-07-18,星期六,信義店,美式咖啡,咖啡,2,70,140
T1500,2026-07-18,星期六,信義店,拿鐵,咖啡,1,90,90
T1501,2026-07-18,星期六,信義店,拿鐵,咖啡,3,90,270
T1502,2026-07-18,星期六,信義店,美式咖啡,咖啡,2,70,140
T1503,2026-07-18,星期六,信義店,美式咖啡,咖啡,1,70,70
T1504,2026-07-18,星期六,信義店,起司蛋糕,烘焙,2,120,240
T1505,2026-07-18,星期六,信義店,可頌,烘焙,2,60,120
T1506,2026-07-18,星期六,信義店,肉桂捲,烘焙,2,85,170
T1507,2026-07-18,星期六,信義店,可頌,烘焙,3,60,180
T1508,2026-07-18,星期六,信義店,肉桂捲,烘焙,1,85,85
T1509,2026-07-18,星期六,板橋店,卡布奇諾,咖啡,2,95,190
T1510,2026-07-18,星期六,板橋店,拿鐵,咖啡,1,90,90
T1511,2026-07-18,星期六,板橋店,起司蛋糕,烘焙,1,120,120
T1512,2026-07-18,星期六,板橋店,美式咖啡,咖啡,2,70,140
T1513,2026-07-18,星期六,板橋店,美式咖啡,咖啡,1,70,70
T1514,2026-07-18,星期六,板橋店,肉桂捲,烘焙,1,85,85
T1515,2026-07-18,星期六,板橋店,紅茶,茶飲,2,50,100
T1516,2026-07-18,星期六,板橋店,拿鐵,咖啡,3,90,270
T1517,2026-07-18,星期六,板橋店,紅茶,茶飲,1,50,50
T1518,2026-07-18,星期六,板橋店,可頌,烘焙,1,60,60
T1519,2026-07-18,星期六,板橋店,拿鐵,咖啡,2,90,180
T1520,2026-07-18,星期六,板橋店,拿鐵,咖啡,2,90,180
T1557,2026-07-19,星期日,中壢店,紅茶,茶飲,3,50,150
T1558,2026-07-19,星期日,中壢店,美式咖啡,咖啡,1,70,70
T1559,2026-07-19,星期日,中壢店,拿鐵,咖啡,1,90,90
T1560,2026-07-19,星期日,中壢店,美式咖啡,咖啡,1,70,70
T1561,2026-07-19,星期日,中壢店,可頌,烘焙,3,60,180
T1562,2026-07-19,星期日,中壢店,美式咖啡,咖啡,3,70,210
T1563,2026-07-19,星期日,中壢店,拿鐵,咖啡,3,90,270
T1564,2026-07-19,星期日,中壢店,美式咖啡,咖啡,1,70,70
T1565,2026-07-19,星期日,中壢店,起司蛋糕,烘焙,2,120,240
T1566,2026-07-19,星期日,中壢店,起司蛋糕,烘焙,1,120,120
T1567,2026-07-19,星期日,中壢店,抹茶拿鐵,茶飲,1,100,100
T1568,2026-07-19,星期日,中壢店,美式咖啡,咖啡,1,70,70
T1534,2026-07-19,星期日,信義店,可頌,烘焙,2,60,120
T1535,2026-07-19,星期日,信義店,拿鐵,咖啡,1,90,90
T1536,2026-07-19,星期日,信義店,起司蛋糕,烘焙,1,120,120
T1537,2026-07-19,星期日,信義店,肉桂捲,烘焙,3,85,255
T1538,2026-07-19,星期日,信義店,起司蛋糕,烘焙,2,120,240
T1539,2026-07-19,星期日,信義店,拿鐵,咖啡,3,90,270
T1540,2026-07-19,星期日,信義店,起司蛋糕,烘焙,2,120,240
T1541,2026-07-19,星期日,信義店,卡布奇諾,咖啡,1,95,95
T1542,2026-07-19,星期日,信義店,可頌,烘焙,2,60,120
T1543,2026-07-19,星期日,信義店,拿鐵,咖啡,2,90,180
T1544,2026-07-19,星期日,信義店,卡布奇諾,咖啡,2,95,190
T1545,2026-07-19,星期日,信義店,抹茶拿鐵,茶飲,1,100,100
T1546,2026-07-19,星期日,板橋店,抹茶拿鐵,茶飲,2,100,200
T1547,2026-07-19,星期日,板橋店,拿鐵,咖啡,3,90,270
T1548,2026-07-19,星期日,板橋店,起司蛋糕,烘焙,1,120,120
T1549,2026-07-19,星期日,板橋店,美式咖啡,咖啡,1,70,70
T1550,2026-07-19,星期日,板橋店,美式咖啡,咖啡,2,70,140
T1551,2026-07-19,星期日,板橋店,拿鐵,咖啡,1,90,90
T1552,2026-07-19,星期日,板橋店,拿鐵,咖啡,1,90,90
T1553,2026-07-19,星期日,板橋店,拿鐵,咖啡,2,90,180
T1554,2026-07-19,星期日,板橋店,美式咖啡,咖啡,1,70,70
T1555,2026-07-19,星期日,板橋店,美式咖啡,咖啡,2,70,140
T1556,2026-07-19,星期日,板橋店,美式咖啡,咖啡,2,70,140
T1587,2026-07-20,星期一,中壢店,拿鐵,咖啡,1,90,90
T1588,2026-07-20,星期一,中壢店,拿鐵,咖啡,3,90,270
T1589,2026-07-20,星期一,中壢店,美式咖啡,咖啡,2,70,140
T1590,2026-07-20,星期一,中壢店,拿鐵,咖啡,2,90,180
T1591,2026-07-20,星期一,中壢店,起司蛋糕,烘焙,2,120,240
T1592,2026-07-20,星期一,中壢店,拿鐵,咖啡,3,90,270
T1593,2026-07-20,星期一,中壢店,可頌,烘焙,2,60,120
T1569,2026-07-20,星期一,信義店,卡布奇諾,咖啡,1,95,95
T1570,2026-07-20,星期一,信義店,起司蛋糕,烘焙,2,120,240
T1571,2026-07-20,星期一,信義店,可頌,烘焙,2,60,120
T1572,2026-07-20,星期一,信義店,可頌,烘焙,1,60,60
T1573,2026-07-20,星期一,信義店,美式咖啡,咖啡,3,70,210
T1574,2026-07-20,星期一,信義店,卡布奇諾,咖啡,1,95,95
T1575,2026-07-20,星期一,信義店,卡布奇諾,咖啡,1,95,95
T1576,2026-07-20,星期一,信義店,卡布奇諾,咖啡,1,95,95
T1577,2026-07-20,星期一,信義店,紅茶,茶飲,1,50,50
T1578,2026-07-20,星期一,板橋店,拿鐵,咖啡,3,90,270
T1579,2026-07-20,星期一,板橋店,美式咖啡,咖啡,3,70,210
T1580,2026-07-20,星期一,板橋店,抹茶拿鐵,茶飲,1,100,100
T1581,2026-07-20,星期一,板橋店,拿鐵,咖啡,1,90,90
T1582,2026-07-20,星期一,板橋店,肉桂捲,烘焙,1,85,85
T1583,2026-07-20,星期一,板橋店,起司蛋糕,烘焙,2,120,240
T1584,2026-07-20,星期一,板橋店,抹茶拿鐵,茶飲,1,100,100
T1585,2026-07-20,星期一,板橋店,拿鐵,咖啡,2,90,180
T1586,2026-07-20,星期一,板橋店,可頌,烘焙,3,60,180
T9902,2026-07-20,星期一,板橋店,可頌,烘焙,2,,
T1611,2026-07-21,星期二,中壢店,紅茶,茶飲,1,50,50
T1612,2026-07-21,星期二,中壢店,起司蛋糕,烘焙,2,120,240
T1613,2026-07-21,星期二,中壢店,可頌,烘焙,2,60,120
T1614,2026-07-21,星期二,中壢店,抹茶拿鐵,茶飲,2,100,200
T1615,2026-07-21,星期二,中壢店,拿鐵,咖啡,1,90,90
T1616,2026-07-21,星期二,中壢店,可頌,烘焙,2,60,120
T1617,2026-07-21,星期二,中壢店,紅茶,茶飲,1,50,50
T1618,2026-07-21,星期二,中壢店,可頌,烘焙,1,60,60
T1619,2026-07-21,星期二,中壢店,拿鐵,咖啡,2,90,180
T1594,2026-07-21,星期二,信義店,卡布奇諾,咖啡,1,95,95
T1595,2026-07-21,星期二,信義店,美式咖啡,咖啡,2,70,140
T1596,2026-07-21,星期二,信義店,拿鐵,咖啡,2,90,180
T1597,2026-07-21,星期二,信義店,拿鐵,咖啡,3,90,270
T1598,2026-07-21,星期二,信義店,起司蛋糕,烘焙,1,120,120
T1599,2026-07-21,星期二,信義店,拿鐵,咖啡,3,90,270
T1600,2026-07-21,星期二,信義店,抹茶拿鐵,茶飲,1,100,100
T1601,2026-07-21,星期二,信義店,拿鐵,咖啡,2,90,180
T1602,2026-07-21,星期二,信義店,拿鐵,咖啡,1,90,90
T1603,2026-07-21,星期二,板橋店,美式咖啡,咖啡,2,70,140
T1604,2026-07-21,星期二,板橋店,拿鐵,咖啡,1,90,90
T1605,2026-07-21,星期二,板橋店,抹茶拿鐵,茶飲,1,100,100
T1606,2026-07-21,星期二,板橋店,紅茶,茶飲,3,50,150
T1607,2026-07-21,星期二,板橋店,肉桂捲,烘焙,3,85,255
T1608,2026-07-21,星期二,板橋店,美式咖啡,咖啡,1,70,70
T1609,2026-07-21,星期二,板橋店,拿鐵,咖啡,2,90,180
T1610,2026-07-21,星期二,板橋店,抹茶拿鐵,茶飲,2,100,200
T1635,2026-07-22,星期三,中壢店,美式咖啡,咖啡,1,70,70
T1636,2026-07-22,星期三,中壢店,起司蛋糕,烘焙,1,120,120
T1637,2026-07-22,星期三,中壢店,肉桂捲,烘焙,3,85,255
T1638,2026-07-22,星期三,中壢店,紅茶,茶飲,1,50,50
T1639,2026-07-22,星期三,中壢店,美式咖啡,咖啡,2,70,140
T1640,2026-07-22,星期三,中壢店,紅茶,茶飲,1,50,50
T1641,2026-07-22,星期三,中壢店,拿鐵,咖啡,1,90,90
T1620,2026-07-22,星期三,信義店,抹茶拿鐵,茶飲,3,100,300
T1621,2026-07-22,星期三,信義店,拿鐵,咖啡,2,90,180
T1622,2026-07-22,星期三,信義店,可頌,烘焙,1,60,60
T1623,2026-07-22,星期三,信義店,可頌,烘焙,2,60,120
T1624,2026-07-22,星期三,信義店,拿鐵,咖啡,1,90,90
T1625,2026-07-22,星期三,信義店,起司蛋糕,烘焙,3,120,360
T1626,2026-07-22,星期三,信義店,拿鐵,咖啡,1,90,90
T1627,2026-07-22,星期三,信義店,拿鐵,咖啡,1,90,90
T1628,2026-07-22,星期三,板橋店,美式咖啡,咖啡,3,70,210
T1629,2026-07-22,星期三,板橋店,拿鐵,咖啡,2,90,180
T1630,2026-07-22,星期三,板橋店,卡布奇諾,咖啡,1,95,95
T1631,2026-07-22,星期三,板橋店,紅茶,茶飲,2,50,100
T1632,2026-07-22,星期三,板橋店,卡布奇諾,咖啡,2,95,190
T1633,2026-07-22,星期三,板橋店,美式咖啡,咖啡,1,70,70
T1634,2026-07-22,星期三,板橋店,美式咖啡,咖啡,2,70,140
T1661,2026-07-23,星期四,中壢店,起司蛋糕,烘焙,1,120,120
T1662,2026-07-23,星期四,中壢店,拿鐵,咖啡,3,90,270
T1663,2026-07-23,星期四,中壢店,美式咖啡,咖啡,2,70,140
T1664,2026-07-23,星期四,中壢店,拿鐵,咖啡,1,90,90
T1665,2026-07-23,星期四,中壢店,拿鐵,咖啡,1,90,90
T1666,2026-07-23,星期四,中壢店,卡布奇諾,咖啡,1,95,95
T1642,2026-07-23,星期四,信義店,紅茶,茶飲,2,50,100
T1643,2026-07-23,星期四,信義店,拿鐵,咖啡,1,90,90
T1644,2026-07-23,星期四,信義店,拿鐵,咖啡,1,90,90
T1645,2026-07-23,星期四,信義店,拿鐵,咖啡,2,90,180
T1646,2026-07-23,星期四,信義店,美式咖啡,咖啡,2,70,140
T1647,2026-07-23,星期四,信義店,紅茶,茶飲,1,50,50
T1648,2026-07-23,星期四,信義店,卡布奇諾,咖啡,2,95,190
T1649,2026-07-23,星期四,信義店,拿鐵,咖啡,2,90,180
T1650,2026-07-23,星期四,信義店,卡布奇諾,咖啡,3,95,285
T1651,2026-07-23,星期四,信義店,美式咖啡,咖啡,1,70,70
T1652,2026-07-23,星期四,信義店,拿鐵,咖啡,1,90,90
T1653,2026-07-23,星期四,信義店,可頌,烘焙,2,60,120
T1654,2026-07-23,星期四,板橋店,拿鐵,咖啡,3,90,270
T1655,2026-07-23,星期四,板橋店,卡布奇諾,咖啡,2,95,190
T1656,2026-07-23,星期四,板橋店,美式咖啡,咖啡,1,70,70
T1657,2026-07-23,星期四,板橋店,美式咖啡,咖啡,3,70,210
T1658,2026-07-23,星期四,板橋店,拿鐵,咖啡,1,90,90
T1659,2026-07-23,星期四,板橋店,拿鐵,咖啡,2,90,180
T1660,2026-07-23,星期四,板橋店,美式咖啡,咖啡,2,70,140
T1685,2026-07-24,星期五,中壢店,拿鐵,咖啡,1,90,90
T1686,2026-07-24,星期五,中壢店,拿鐵,咖啡,3,90,270
T1687,2026-07-24,星期五,中壢店,可頌,烘焙,1,60,60
T1688,2026-07-24,星期五,中壢店,卡布奇諾,咖啡,1,95,95
T1689,2026-07-24,星期五,中壢店,拿鐵,咖啡,3,90,270
T1690,2026-07-24,星期五,中壢店,起司蛋糕,烘焙,1,120,120
T1667,2026-07-24,星期五,信義店,美式咖啡,咖啡,1,70,70
T1668,2026-07-24,星期五,信義店,卡布奇諾,咖啡,1,95,95
T1669,2026-07-24,星期五,信義店,可頌,烘焙,1,60,60
T1670,2026-07-24,星期五,信義店,美式咖啡,咖啡,1,70,70
T1671,2026-07-24,星期五,信義店,抹茶拿鐵,茶飲,3,100,300
T1672,2026-07-24,星期五,信義店,美式咖啡,咖啡,1,70,70
T1673,2026-07-24,星期五,信義店,抹茶拿鐵,茶飲,2,100,200
T1674,2026-07-24,星期五,信義店,拿鐵,咖啡,1,90,90
T1675,2026-07-24,星期五,信義店,可頌,烘焙,1,60,60
T1676,2026-07-24,星期五,信義店,卡布奇諾,咖啡,3,95,285
T1677,2026-07-24,星期五,信義店,抹茶拿鐵,茶飲,2,100,200
T1678,2026-07-24,星期五,信義店,肉桂捲,烘焙,2,85,170
T1679,2026-07-24,星期五,板橋店,肉桂捲,烘焙,1,85,85
T1680,2026-07-24,星期五,板橋店,起司蛋糕,烘焙,1,120,120
T1681,2026-07-24,星期五,板橋店,紅茶,茶飲,2,50,100
T1682,2026-07-24,星期五,板橋店,紅茶,茶飲,1,50,50
T1683,2026-07-24,星期五,板橋店,起司蛋糕,烘焙,1,120,120
T1684,2026-07-24,星期五,板橋店,拿鐵,咖啡,2,90,180
T1716,2026-07-25,星期六,中壢店,肉桂捲,烘焙,1,85,85
T1717,2026-07-25,星期六,中壢店,美式咖啡,咖啡,2,70,140
T1718,2026-07-25,星期六,中壢店,拿鐵,咖啡,1,90,90
T1719,2026-07-25,星期六,中壢店,拿鐵,咖啡,1,90,90
T1720,2026-07-25,星期六,中壢店,卡布奇諾,咖啡,3,95,285
T1721,2026-07-25,星期六,中壢店,美式咖啡,咖啡,1,70,70
T1722,2026-07-25,星期六,中壢店,紅茶,茶飲,2,50,100
T1723,2026-07-25,星期六,中壢店,卡布奇諾,咖啡,1,95,95
T1724,2026-07-25,星期六,中壢店,拿鐵,咖啡,3,90,270
T1725,2026-07-25,星期六,中壢店,美式咖啡,咖啡,1,70,70
T1726,2026-07-25,星期六,中壢店,紅茶,茶飲,1,50,50
T1727,2026-07-25,星期六,中壢店,美式咖啡,咖啡,2,70,140
T9903,2026-07-25,星期六,中壢店,紅茶,茶飲,,50,
T1691,2026-07-25,星期六,信義店,拿鐵,咖啡,2,90,180
T1692,2026-07-25,星期六,信義店,美式咖啡,咖啡,1,70,70
T1693,2026-07-25,星期六,信義店,紅茶,茶飲,2,50,100
T1694,2026-07-25,星期六,信義店,美式咖啡,咖啡,1,70,70
T1695,2026-07-25,星期六,信義店,拿鐵,咖啡,3,90,270
T1696,2026-07-25,星期六,信義店,起司蛋糕,烘焙,1,120,120
T1697,2026-07-25,星期六,信義店,拿鐵,咖啡,2,90,180
T1698,2026-07-25,星期六,信義店,起司蛋糕,烘焙,3,120,360
T1699,2026-07-25,星期六,信義店,拿鐵,咖啡,3,90,270
T1700,2026-07-25,星期六,信義店,抹茶拿鐵,茶飲,1,100,100
T1701,2026-07-25,星期六,信義店,拿鐵,咖啡,3,90,270
T1702,2026-07-25,星期六,信義店,抹茶拿鐵,茶飲,2,100,200
T1703,2026-07-25,星期六,板橋店,紅茶,茶飲,1,50,50
T1704,2026-07-25,星期六,板橋店,抹茶拿鐵,茶飲,1,100,100
T1705,2026-07-25,星期六,板橋店,起司蛋糕,烘焙,1,120,120
T1706,2026-07-25,星期六,板橋店,抹茶拿鐵,茶飲,1,100,100
T1707,2026-07-25,星期六,板橋店,抹茶拿鐵,茶飲,2,100,200
T1708,2026-07-25,星期六,板橋店,拿鐵,咖啡,2,90,180
T1709,2026-07-25,星期六,板橋店,卡布奇諾,咖啡,1,95,95
T1710,2026-07-25,星期六,板橋店,紅茶,茶飲,1,50,50
T1711,2026-07-25,星期六,板橋店,拿鐵,咖啡,3,90,270
T1712,2026-07-25,星期六,板橋店,美式咖啡,咖啡,2,70,140
T1713,2026-07-25,星期六,板橋店,美式咖啡,咖啡,1,70,70
T1714,2026-07-25,星期六,板橋店,起司蛋糕,烘焙,2,120,240
T1715,2026-07-25,星期六,板橋店,拿鐵,咖啡,3,90,270
T1754,2026-07-26,星期日,中壢店,卡布奇諾,咖啡,1,95,95
T1755,2026-07-26,星期日,中壢店,拿鐵,咖啡,1,90,90
T1756,2026-07-26,星期日,中壢店,可頌,烘焙,1,60,60
T1757,2026-07-26,星期日,中壢店,肉桂捲,烘焙,1,85,85
T1758,2026-07-26,星期日,中壢店,抹茶拿鐵,茶飲,1,100,100
T1759,2026-07-26,星期日,中壢店,美式咖啡,咖啡,1,70,70
T1760,2026-07-26,星期日,中壢店,起司蛋糕,烘焙,2,120,240
T1761,2026-07-26,星期日,中壢店,肉桂捲,烘焙,2,85,170
T1762,2026-07-26,星期日,中壢店,拿鐵,咖啡,2,90,180
T1763,2026-07-26,星期日,中壢店,可頌,烘焙,3,60,180
T1728,2026-07-26,星期日,信義店,拿鐵,咖啡,2,90,180
T1729,2026-07-26,星期日,信義店,抹茶拿鐵,茶飲,1,100,100
T1730,2026-07-26,星期日,信義店,美式咖啡,咖啡,2,70,140
T1731,2026-07-26,星期日,信義店,起司蛋糕,烘焙,1,120,120
T1732,2026-07-26,星期日,信義店,抹茶拿鐵,茶飲,3,100,300
